Year,Title,Director,Cast,Genre
1922,Gangavataran a.k.a. Bhagirathi Ganga,Unknown,"dadibhai,cooper,sarkari,patience",mythology
1922,Hara Gouri a.k.a. Lord Shiva And Parvati,Dhirendranath Ganguly,unknown,religious
1922,Hari Talika,G. V. Sane,"bhaurao,datar",mythology
1922,Indrajit a.k.a. Indrajit O Lady Teacher,Dhirendranath Ganguly,"ganguly,dhirendranath,devi,seeta",social
1922,Jadunath,S. N. Patankar,"koregaonkar,gokhale,trimbakrao,vyas,pradhan,tara,k,baba,kelkar,g",legend
1922,Kalidas,S. N. Patankar,"vyas,tara,koregaonkar,baba","devotional,biopic"
1922,Karna a.k.a. Deserted Son Of Kunti,S. N. Patankar,"sandow,raja",mythology
1922,Lady Teacher,Dhirendranath Ganguly,unknown,comedy
1922,Laila Majnu,J. J. Madan,"h,patience,waring,miss,sherwin,jeanetta,cooper,w,dot,foy","legend,romantic"
1922,Mahashweta Kadambari a.k.a. Shap Sambhram,S. N. Patankar,"n,koregaonkar,vyas,tara,thatte,baba,s,patankar",mythology
1922,Malati Madhav,Kanjibhai Rathod,"n,gangaram,moti,miss,khalil,tara,r,vaidya",mythology
1922,Pandavas In Exile a.k.a. Pandav Vanavas,G. V. Sane,"bhaurao,datar,pawar,jadhav,sakharam,bachu",mythology
1922,Parikshit,Unknown,"vithaldas,panchotia",mythology
1922,Parsuram,Unknown,unknown,mythology
1922,Pati Bhakti a.k.a. Pavitra Leelavati a.k.a. Husband Worship,J. J. Madan,"sayed,mohan,master,patience,manilal,manelli,cooper,signorina,f,hussain","social,drama"
1922,Pitroddhar a.k.a. Ganga The Redeemer,Manilal Joshi,unknown,mythology
1922,Princess Budur a.k.a. Rajkumari Budur a.k.a. Tale Of Kamar-Al-Zaman,J. J. Madan,"dorothy,edna,patience,dadibhai,chapgar,liguoro,cooper,bayley,dalies,eugenio,de,sarkari","costume,fantasy"
1922,Radha Vilas,Vishnupant Divekar,"soni,y,datar,v",mythology
1922,Raja Bhoj,Unknown,"albertina,cooper,patience",legend
1922,Raja Parikshit a.k.a. Janmejaya's Serpent Sacrifice,Manilal Joshi,"miss,yakbal",mythology
1922,Ramayana,Jyotish Bannerjee,"master,mannelli,patience,da,cooper,signorina,bhagaban,f","religious,epic"
1922,Ratnavali a.k.a. The Lady From Lanka,Manilal Joshi,"miss,yakbal,elizer","mythology,legend"
1922,Ratnavali a.k.a. Ratnabali a.k.a. Sea Nymph Of Ceylon,"Jyotish Bannerjee, C. Legrand","gohar,c,pandit,patience,miss,albertina,cooper,saida,legrand,tulsidutt","mythology,legend"
1922,Sadhu Aur Shaitan,"Nitish Lahiri, Dhirendranath Ganguly","dhirendranath,sushilabala,lina,ganguly,manmatha,valentine,pal",comedy
1922,Sant Namdev a.k.a. Saint Namdeo,Dadasaheb Phalke,unknown,devotional
1922,Sant Sakhubai,G. V. Sane,"nirantar,visubhau,shanta,nalgunde",devotional
1922,Sati a.k.a. Kalighat a.k.a. Daksha Yagna a.k.a. Origin Of Mahakali Temple,Unknown,"cooper,patience",mythology
1922,Sati Anjani a.k.a. Birth Of Hanuman,S. N. Patankar,"tara,koregaonkar,shah,c","devotional,biopic"
1922,Sati Toral,Kanjibhai Rathod,"sakina,moti,miss,khalil,gani,babu",devotional
1922,Satya Narayan,V. S. Nirantar,"salunke,shinde,anna",unknown
1922,Sharmista Devyani,Unknown,unknown,"drama,puranic"
1922,Shishupal Vadh a.k.a. The Killing Of Shishupal,G. V. Sane,"bhaurao,sonabai,datar,pawar,sane,bachu",mythology
1922,Shri Ganesh Janma a.k.a. Ganesh Avatar,G. V. Sane,"bhaurao,datar,madhav,malasure",unknown
1922,Shri Markandeya Avtar a.k.a. Shiv Mahima a.k.a. Devotion's Reward,S. N. Patankar,"shah,c,vyas,damle,baba",devotional
1922,Shri Satya Narayan,Kanjibhai Rathod,"n,babu,sakina,raja,moti,miss,khalil,r,tara,gani,vaidya",devotional
1922,Sukanya Savitri,Kanjibhai Rathod,"sakina,miss,jamna,moti",devotional
1922,Suryakumari,Narayan Deware,"raja,moti,miss,khalil,tara,sandow",costume
1922,Tara The Dancer a.k.a. Nartaki Tara,J. J. Madan,"prabhodh,patience,miss,chandra,cooper,bose",social
